"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1906496412420096312","Sun Mar 30 23:59:00 +0000 2025","3","Airlangga Hartarto Ungkap Instruksi Prabowo Pangkas Jumlah Komisaris Bank BUMN dan Diisi Profesional #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/XWlFva4cpk","1906496412420096312","","","in","","0","0","25","https://x.com/undefined/status/1906496412420096312","721898354502930433",
"1906388615594426662","Sun Mar 30 23:58:16 +0000 2025","0","@hexagrap_id Prabowo untuk Indonesia yang lebih baik","1906496226377470369","","hexagrap_id","in","","0","0","0","https://x.com/undefined/status/1906496226377470369","1689146486096072704",
"1906496163886645470","Sun Mar 30 23:58:01 +0000 2025","8","my ustad's speech is anti prabowo dawg lfg ‼️ and my dad has to sit through it ","1906496163886645470","","","en","","0","3","0","https://x.com/undefined/status/1906496163886645470","1528356839464718336",
"1906324344722080085","Sun Mar 30 23:57:59 +0000 2025","2","@S4N_W1B1 Kamu paling taunya ngerusak. Pak Prabowo sdh buat baik utk negara ini tp kalian merusaknya krn kalian dibodohi org lain yg takut Prabowo tangkap mereka krn korupsi uang rakyat.","1906496159172219247","","S4N_W1B1","in","","0","5","0","https://x.com/undefined/status/1906496159172219247","1864867668517621765",
"1906370082558890432","Sun Mar 30 23:56:34 +0000 2025","90","@bujas__ @hrdbacot dan ini keberhasilan presiden ke 7 jokowi lalu dilanjutkan oleh presiden prabowo. berita anjing!","1906495800852758702","","bjs________","in","","0","0","0","https://x.com/undefined/status/1906495800852758702","1759273445500850176",
"1905821451778932752","Sun Mar 30 23:56:18 +0000 2025","0","@Srik4ndiMuslim2 @prabowo Tinggal nunjukin ijazahnya selesai jika memang benar2 asli","1906495733282529314","","Srik4ndiMuslim2","in","","0","0","0","https://x.com/undefined/status/1906495733282529314","1687746496039628800",
"1906204348155138155","Sun Mar 30 23:56:13 +0000 2025","0","@widjaja35472 @prabowo Ga ada Pemerintah yang sempurna semua pasti ada kurangnya ...anehnya orang membantu malah seolah negara abai ","1906495714429190443","","widjaja35472","in","","0","2","0","https://x.com/undefined/status/1906495714429190443","1884976589039190016",
"1906185746723336445","Sun Mar 30 23:55:45 +0000 2025","16","@SebatUlud @bacottetanggaid @DivHumas_Polri @prabowo @ListyoSigitP @Gerindra @habiburokhman Hah merusak ? Kan emang citranya gak pernah baik toh dari dulu.","1906495593142460515","","kerakBe5i","in","","0","1","0","https://x.com/undefined/status/1906495593142460515","306561988",
"1905861618111521028","Sun Mar 30 23:54:08 +0000 2025","0","@anneserlo @prabowo Kalo pada ga miskin 2029 pada ga milih doi","1906495188740243590","","anneserlo","in","","0","0","0","https://x.com/undefined/status/1906495188740243590","618935792",
"1906490069218943465","Sun Mar 30 23:54:07 +0000 2025","16","@DoankWarto @KPK_RI Pejabat Penegak Hukum ketika melakukan Pelanggaran Hukum harusnya di Ganjar 3X lebih berat! Pungli dapat merugikan negara dan masyarakat. Pungli dapat disamakan dengan perbuatan pidana penipuan pemerasan dan korupsi. Mana Satgas Saber Pungli? @prabowo","1906495184860578169","","DoankWarto","in","","0","1","3","https://x.com/undefined/status/1906495184860578169","1898381628843646976",
"1905835957770723503","Sun Mar 30 23:53:43 +0000 2025","3","@qylaqyl @fschiko_ udah tau negaranya jelek lu milih prabowo lagi. makin nyungsep","1906495081441599556","","qylaqyl","in","","0","0","0","https://x.com/undefined/status/1906495081441599556","865225436879388672",
"1906495062391005240","Sun Mar 30 23:53:38 +0000 2025","1","Poin-poin: - Retreat kabinet Prabowo-Gibran - Korupsi Pertamina - Gelar doktor bahlil - Efisensi Anggaran Ternyata beliau dosen sehingga sangat kritis dengan isu politik. Semoga masih banyak tokoh agama seperti beliau dan semoga panjang umur *Aamiin ","1906495062391005240","","","in","","0","0","0","https://x.com/undefined/status/1906495062391005240","1710598704498200576",
"1905876812720468031","Sun Mar 30 23:53:07 +0000 2025","0","@Piyusaja2 @prabowo negara mu mana bisa","1906494932791296116","","Piyusaja2","in","","0","0","0","https://x.com/undefined/status/1906494932791296116","1593912892763475968",
"1906237557190295942","Sun Mar 30 23:53:07 +0000 2025","0","@hery_janto2131 @KangManto123 Menteri nya harus nya mundur tau diri ngurus sepak bola aja lah ya ga pak @prabowo","1906494932682215622","","hery_janto2131","in","","0","0","0","https://x.com/undefined/status/1906494932682215622","769484621369126914",
"1906033762116546756","Sun Mar 30 23:52:42 +0000 2025","1","@H4T14K4LN4L42 @prabowo Dari mana duitnyaaa kalo kata yusuf mansur hehee","1906494826482450581","","H4T14K4LN4L42","in","","0","0","0","https://x.com/undefined/status/1906494826482450581","1651581934655651841",
"1906173407261331667","Sun Mar 30 23:52:33 +0000 2025","0","@txtdrjkt Yap kemiskinan struktural yang dibudidayakan oleh @prabowo","1906494788511449259","","txtdrjkt","in","","0","0","0","https://x.com/undefined/status/1906494788511449259","1593912892763475968",
"1905821451778932752","Sun Mar 30 23:52:30 +0000 2025","0","@haridamar55 @Srik4ndiMuslim2 @prabowo Ya Jokowi kuliah di UGM dan lulus tahun 1985 dengan ijazah dari Fakultas Kehutanan. Meski ada kontroversi soal keaslian ijazahnya UGM dan teman seangkatannya telah mengkonfirmasi keabsahannya dengan bukti foto dan dokumen. Tuduhan palsu dari Rismon soal font dibantah UGM karena","1906494776876159329","","haridamar55","in","","0","0","0","https://x.com/undefined/status/1906494776876159329","1720665183188922368",
"1906483639753560395","Sun Mar 30 23:51:49 +0000 2025","0","@unmagnetism Makan di rumah Prabowo sama oppor Opportunity","1906494605769793585","","unmagnetism","in","","0","0","0","https://x.com/undefined/status/1906494605769793585","1603546670985547777",
"1906028123243868337","Sun Mar 30 23:44:42 +0000 2025","0","@H4T14K4LN4L42 @Masartono @DPR_RI @prabowo Ini butet kan? Jokowi garis keras bukan sih dia?!","1906492816005767523","","H4T14K4LN4L42","in","","0","0","0","https://x.com/undefined/status/1906492816005767523","241909291",
"1906492669494517941","Sun Mar 30 23:44:07 +0000 2025","0","Presiden Prabowo Bersama Gibran Salat Id di Masjid Istiqlal https://t.co/0cAxAaWkHs","1906492669494517941","","","in","","0","0","1","https://x.com/undefined/status/1906492669494517941","1582972008479920129",
"1905874739765346808","Sun Mar 30 23:43:34 +0000 2025","0","@Uki23 @prabowo Bocil lagi ngedumel semoga suatu saat nanti kamu merasakan kehilangan keluarga akibat kekerasan aparat saya sdh kehilangan bapak saya tanpa proses pengadilan tau tau sudah pindah alam.","1906492530335867089","","Uki23","in","","0","0","0","https://x.com/undefined/status/1906492530335867089","1633292726967103488",
"1906492497758712282","Sun Mar 30 23:43:27 +0000 2025","0","Sialan bahkan lebaran gini beneran gak ada rasanya asli. Salah elu berdua jing. @gibran_tweet @prabowo #CabutRUUPolri #CabutUUTNI #IndonesiaGelap","1906492497758712282","","","in","","0","0","0","https://x.com/undefined/status/1906492497758712282","1078509491795025920",
"1905969687743377801","Sun Mar 30 23:43:12 +0000 2025","0","@BosPurwa @prabowo @KejaksaanRI Tau tapi pura pura gak tau masa iya 5 taun oplosan mentrinya gak tau rasanya mustahil","1906492436656132573","","BosPurwa","in","","0","0","0","https://x.com/undefined/status/1906492436656132573","830087634709942273",
"1906048313176347010","Sun Mar 30 23:42:58 +0000 2025","0","@Rizieq_Sangean @Puspen_TNI @DivHumas_Polri @ListyoSigitP @prabowo @gibran_tweet Monyet nya tersinggung ampe tag segala","1906492378208448983","","Rizieq_Sangean","in","","0","0","0","https://x.com/undefined/status/1906492378208448983","120362551",
"1906492042576073110","Sun Mar 30 23:41:38 +0000 2025","0","MALU MALU WOYYY @prabowo","1906492042576073110","","","in","","0","0","0","https://x.com/undefined/status/1906492042576073110","1586910746532724736",
"1906187031241535606","Sun Mar 30 23:41:27 +0000 2025","0","@zlebor02 @UstadzWaloni Ngomongin prabowo?","1906491994811294173","","zlebor02","in","","0","1","0","https://x.com/undefined/status/1906491994811294173","1237034718136164353",
"1906491912762347993","Sun Mar 30 23:41:07 +0000 2025","1","Dalam Rangka Mendukung Program Astacita Bapak Presiden RI Prabowo Subianto Minggu (30/03/2025) @divisihumaspolri @humaspoldajatim @humaspolressumenep #astacitajatim #swasembadapangan #ketahananpangan #ketahananpanganpoldajatim #pekaranganpanganbergizi #ssdmpolri #divhumaspolri https://t.co/4RDq1OMTGx","1906491912762347993","https://pbs.twimg.com/media/GnU4R4yb0AAfDKN.jpg","","in","","0","0","0","https://x.com/undefined/status/1906491912762347993","1109049454710054912",
"1906491863110185123","Sun Mar 30 23:40:55 +0000 2025","0","Selamat hari raya idul fitri temen temen. Maafin aku ya klo punya salah Semua aku maafin kecuali prabowo dan antek²nya","1906491863110185123","","","in","","0","0","0","https://x.com/undefined/status/1906491863110185123","1586347876598566914",
"1906469942804844929","Sun Mar 30 23:40:37 +0000 2025","0","@Catatan_ali7 @grok berapa approval rating Prabowo berdasarkan survei terakhir? berdasarkan data terbaru yang tercatat apakah trend ekonomi Indonesia dapat dikatakan baik-baik saja ?","1906491786643804299","","Catatan_ali7","in","","0","1","0","https://x.com/undefined/status/1906491786643804299","65314321",
"1906491756339970112","Sun Mar 30 23:40:30 +0000 2025","0","Momen Lebaran Presiden Prabowo Gelar Open House Usai Salat Id di Masjid Istiqlal https://t.co/0tkwZijsl7","1906491756339970112","","","in","","0","0","0","https://x.com/undefined/status/1906491756339970112","3811914674",
"1906491726610694146","Sun Mar 30 23:40:23 +0000 2025","0","Presiden Prabowo Salat Id di Istiqlal dan Gelar Open House di Istana Merdeka https://t.co/ESWyLY92Nj","1906491726610694146","","","in","","0","0","0","https://x.com/undefined/status/1906491726610694146","585858346",
"1906231290212573315","Sun Mar 30 23:39:59 +0000 2025","2","@CAMERALIVE6849 @DokterTifa @RagilSemar @abu_waras @DrEvaChaniago @Boediantar4 Tapi jokowi punya kunciannya prabowo Lingkaran setan yang gada ujung pangkalnya","1906491625205109074","","CAMERALIVE6849","in","","0","0","0","https://x.com/undefined/status/1906491625205109074","1674682760076877825",
